packet_id,src,dest,created,delivered,latency,hops
1,19,28,1.0,12.0,11.0,10
3,18,28,3.0,15.0,12.0,11
10,39,42,10.0,15.0,5.0,4
2,12,27,2.0,19.0,17.0,16
16,5,6,16.0,19.0,3.0,2
15,12,18,15.0,23.0,8.0,7
14,54,0,14.0,25.0,11.0,11
8,20,34,8.0,28.0,20.0,19
0,33,2,0,31,31,30
9,54,10,9.0,31.0,22.0,21
22,37,48,22.0,35.0,13.0,12
21,41,53,21.0,37.0,16.0,15
19,48,5,19.0,38.0,19.0,18
4,11,45,4.0,40.0,36.0,35
7,52,22,7.0,41.0,34.0,33
18,13,37,18.0,42.0,24.0,25
11,52,24,11.0,47.0,36.0,35
36,48,56,36.0,50.0,14.0,15
24,21,50,24.0,52.0,28.0,30
45,35,40,45.0,52.0,7.0,6
50,10,9,50.0,53.0,3.0,2
49,53,51,49.0,53.0,4.0,3
13,36,16,13.0,54.0,41.0,41
43,18,21,43.0,54.0,11.0,10
29,58,20,29.0,55.0,26.0,25
17,27,1,17.0,57.0,40.0,41
39,10,31,39.0,60.0,21.0,22
6,17,12,6.0,60.0,54.0,56
33,27,50,33.0,60.0,27.0,28
5,50,45,5.0,61.0,56.0,56
37,43,4,37.0,68.0,31.0,30
25,27,12,25.0,68.0,43.0,46
12,31,29,12.0,69.0,57.0,59
27,36,19,27.0,69.0,42.0,46
40,12,41,40.0,69.0,29.0,32
20,43,28,20.0,70.0,50.0,50
26,34,13,26.0,71.0,45.0,48
48,57,18,48.0,72.0,24.0,26
23,11,0,23.0,73.0,50.0,50
56,25,40,56.0,77.0,21.0,24
47,7,27,47.0,79.0,32.0,31
66,20,23,66.0,81.0,15.0,14
38,4,36,38.0,81.0,43.0,45
31,36,14,31.0,82.0,51.0,53
30,56,50,30.0,82.0,52.0,55
59,55,15,59.0,84.0,25.0,25
69,58,3,69.0,86.0,17.0,16
58,23,32,58.0,87.0,29.0,30
34,12,7,34.0,90.0,56.0,58
41,50,21,41.0,92.0,51.0,52
28,33,29,28.0,94.0,66.0,69
46,39,17,46.0,95.0,49.0,51
57,25,49,57.0,95.0,38.0,41
77,4,9,77.0,96.0,19.0,20
65,40,57,65.0,97.0,32.0,32
86,49,41,86.0,99.0,13.0,13
95,57,54,95.0,100.0,5.0,4
52,27,11,52.0,100.0,48.0,51
51,37,21,51.0,101.0,50.0,53
83,43,55,83.0,102.0,19.0,19
54,5,44,54.0,102.0,48.0,52
61,33,5,61.0,104.0,43.0,43
75,42,7,75.0,104.0,29.0,28
60,45,20,60.0,104.0,44.0,46
62,41,12,62.0,105.0,43.0,46
44,56,35,44.0,110.0,66.0,68
90,0,5,90.0,110.0,20.0,24
80,26,42,80.0,111.0,31.0,31
72,6,40,72.0,113.0,41.0,41
67,34,15,67.0,116.0,49.0,56
55,8,58,55.0,117.0,62.0,65
76,23,5,76.0,119.0,43.0,47
64,41,28,64.0,120.0,56.0,62
116,39,36,116.0,121.0,5.0,4
108,37,49,108.0,124.0,16.0,15
84,57,19,84.0,124.0,40.0,43
63,52,48,63.0,125.0,62.0,63
118,54,47,118.0,126.0,8.0,8
78,11,38,78.0,127.0,49.0,50
79,25,2,79.0,127.0,48.0,50
98,18,44,98.0,129.0,31.0,31
74,25,20,74.0,129.0,55.0,60
110,6,16,110.0,129.0,19.0,19
106,54,57,106.0,130.0,24.0,24
71,31,24,71.0,130.0,59.0,64
82,13,29,82.0,132.0,50.0,49
73,17,12,73.0,132.0,59.0,62
97,56,14,97.0,132.0,35.0,35
104,55,3,104.0,134.0,30.0,31
101,40,44,101.0,135.0,34.0,37
113,24,36,113.0,136.0,23.0,23
100,24,54,100.0,137.0,37.0,37
107,28,39,107.0,137.0,30.0,30
92,54,23,92.0,138.0,46.0,48
89,15,57,89.0,138.0,49.0,49
99,17,53,99.0,140.0,41.0,41
96,32,1,96.0,140.0,44.0,46
131,40,41,131.0,147.0,16.0,16
128,47,48,128.0,148.0,20.0,20
124,15,18,124.0,148.0,24.0,26
88,37,30,88.0,150.0,62.0,66
144,25,23,144.0,151.0,7.0,7
94,8,43,94.0,153.0,59.0,64
125,43,51,125.0,155.0,30.0,31
91,35,29,91.0,155.0,64.0,67
