packet_id,src,dest,created,delivered,latency,hops
71,41,0,71,330,259,259
128,165,0,228,363,135,135
146,172,1,246,375,129,129
80,121,3,80,262,182,182
84,220,4,84,168,84,84
297,238,5,397,464,67,67
276,279,6,376,403,27,27
31,21,7,131,417,286,286
243,5,9,343,347,4,4
70,224,11,70,157,87,87
337,273,11,437,475,38,38
187,120,11,287,478,191,191
10,169,12,10,153,143,143
23,201,12,123,234,111,111
123,228,12,223,307,84,84
41,220,13,41,134,93,93
45,167,14,145,292,147,147
127,121,15,227,421,194,194
303,235,16,403,484,81,81
5,158,18,105,265,160,160
317,290,20,417,447,30,30
143,151,24,243,416,173,173
17,144,26,117,299,182,182
195,212,26,295,409,114,114
246,8,27,346,365,19,19
148,247,28,248,329,81,81
6,161,30,106,275,169,169
78,67,30,78,341,263,263
134,205,31,234,360,126,126
19,58,32,119,393,274,274
87,97,32,187,422,235,235
28,231,33,28,130,102,102
117,67,33,217,483,266,266
20,226,34,120,228,108,108
106,198,38,206,346,140,140
88,116,39,188,411,223,223
18,19,40,18,39,21,21
25,166,40,125,299,174,174
50,136,40,150,354,204,204
249,212,40,349,477,128,128
118,9,41,218,250,32,32
203,10,42,303,335,32,32
7,42,43,7,8,1,1
39,262,44,139,221,82,82
149,113,45,249,481,232,232
214,168,45,314,491,177,177
38,155,46,138,329,191,191
35,118,46,135,363,228,228
42,161,48,42,229,187,187
18,135,48,118,331,213,213
108,213,48,208,343,135,135
84,129,51,184,406,222,222
161,122,51,261,490,229,229
265,221,51,365,495,130,130
147,216,55,247,386,139,139
28,26,57,128,159,31,31
136,242,57,236,351,115,115
290,248,57,390,499,109,109
62,47,58,62,73,11,11
6,277,59,6,88,82,82
92,67,60,92,385,293,293
67,119,60,167,408,241,241
38,189,61,38,210,172,172
175,205,61,275,431,156,156
56,294,62,56,124,68,68
178,30,63,278,311,33,33
112,93,63,212,482,270,270
22,257,66,22,131,109,109
29,56,66,129,139,10,10
59,140,66,159,385,226,226
98,3,67,98,162,64,64
82,194,67,82,255,173,173
1,109,67,1,259,258,258
29,280,70,29,119,90,90
97,220,72,197,349,152,152
43,188,75,43,230,187,187
90,261,75,190,304,114,114
81,109,75,81,347,266,266
182,49,77,282,310,28,28
60,57,78,60,81,21,21
79,117,78,179,440,261,261
101,53,81,201,229,28,28
69,246,82,69,205,136,136
100,15,83,200,268,68,68
12,294,84,12,102,90,90
95,57,84,195,222,27,27
196,282,84,296,398,102,102
24,107,87,124,404,280,280
139,272,88,239,355,116,116
47,75,89,147,161,14,14
43,163,89,143,369,226,226
54,167,90,54,277,223,223
32,263,91,132,260,128,128
150,271,91,250,370,120,120
130,53,93,230,270,40,40
50,269,94,50,175,125,125
33,224,94,133,303,170,170
37,225,95,37,207,170,170
124,25,95,224,294,70,70
3,185,96,103,314,211,211
177,31,96,277,342,65,65
273,67,96,373,402,29,29
24,26,97,24,95,71,71
22,285,97,122,234,112,112
183,259,97,283,421,138,138
152,53,99,252,298,46,46
170,199,100,270,471,201,201
225,235,100,325,490,165,165
36,20,102,136,218,82,82
144,176,102,244,470,226,226
34,34,103,134,203,69,69
141,27,103,241,317,76,76
37,163,104,137,378,241,241
65,296,105,165,274,109,109
33,204,106,33,235,202,202
55,194,109,55,270,215,215
86,14,110,86,182,96,96
53,211,110,53,252,199,199
92,31,110,192,271,79,79
194,0,110,294,404,110,110
54,149,110,154,415,261,261
190,295,111,290,406,116,116
27,195,112,127,344,217,217
226,254,112,326,484,158,158
57,118,113,57,352,295,295
283,35,113,383,461,78,78
75,272,114,175,317,142,142
205,20,114,305,399,94,94
45,274,117,45,188,143,143
44,236,117,144,325,181,181
354,106,117,454,465,11,11
99,79,119,99,139,40,40
89,68,120,189,241,52,52
98,296,120,198,322,124,124
270,89,120,370,401,31,31
105,59,121,205,267,62,62
94,278,123,94,239,145,145
32,171,123,32,284,252,252
160,36,123,260,347,87,87
26,203,124,26,247,221,221
174,113,124,274,285,11,11
248,109,124,348,363,15,15
2,243,127,2,186,184,184
113,113,127,213,227,14,14
72,201,128,172,399,227,227
73,104,130,173,199,26,26
56,13,130,156,273,117,117
109,49,130,209,290,81,81
76,78,132,176,230,54,54
67,150,132,67,349,282,282
151,71,134,251,314,63,63
359,96,135,459,498,39,39
282,103,137,382,416,34,34
111,227,137,211,421,210,210
16,38,138,16,116,100,100
181,33,139,281,387,106,106
129,103,141,229,267,38,38
137,278,141,237,400,163,163
52,170,141,152,423,271,271
312,100,141,412,453,41,41
1,51,142,101,192,91,91
4,55,143,104,192,88,88
279,100,143,379,422,43,43
311,84,143,411,470,59,59
8,4,145,108,249,141,141
41,95,146,141,192,51,51
83,9,147,183,321,138,138
30,65,148,130,213,83,83
99,152,150,199,497,298,298
4,123,151,4,32,28,28
26,257,151,126,320,194,194
242,10,151,342,483,141,141
85,122,152,185,215,30,30
171,271,152,271,452,181,181
3,150,154,3,7,4,4
103,94,154,203,263,60,60
339,104,154,439,489,50,50
216,16,155,316,455,139,139
27,23,156,27,160,133,133
25,178,157,25,304,279,279
191,58,157,291,390,99,99
57,95,158,157,220,63,63
49,238,160,49,271,222,222
305,144,160,405,421,16,16
122,42,161,222,341,119,119
223,31,162,323,454,131,131
96,87,163,196,272,76,76
58,153,165,58,70,12,12
91,165,166,191,192,1,1
9,230,166,9,245,236,236
63,15,166,163,314,151,151
165,248,166,265,483,218,218
15,7,168,15,176,161,161
218,144,168,318,342,24,24
73,181,168,73,360,287,287
9,164,172,109,117,8,8
46,200,172,46,318,272,272
155,299,174,255,430,175,175
80,207,174,180,447,267,267
186,13,175,286,448,162,162
291,68,176,391,499,108,108
19,134,178,19,63,44,44
228,75,178,328,431,103,103
51,49,179,51,181,130,130
11,28,180,11,163,152,152
39,196,181,39,324,285,285
2,134,182,102,150,48,48
77,179,182,177,180,3,3
58,245,182,158,395,237,237
107,91,184,207,300,93,93
65,292,187,65,260,195,195
222,174,187,322,335,13,13
68,188,187,68,367,299,299
316,115,187,416,488,72,72
83,28,188,83,243,160,160
48,247,189,48,290,242,242
206,166,189,306,329,23,23
184,31,189,284,442,158,158
280,153,190,380,417,37,37
15,57,191,115,249,134,134
263,172,191,363,382,19,19
157,20,192,257,429,172,172
52,287,193,52,258,206,206
48,192,194,148,150,2,2
209,130,194,309,373,64,64
252,108,195,352,439,87,87
59,173,196,59,82,23,23
13,170,199,13,42,29,29
121,58,199,221,362,141,141
213,66,199,313,446,133,133
14,123,200,14,91,77,77
132,54,200,232,378,146,146
176,88,201,276,389,113,113
31,20,202,31,213,182,182
138,114,202,238,326,88,88
135,49,202,235,388,153,153
156,281,202,256,477,221,221
321,201,203,421,423,2,2
115,251,203,215,467,252,252
90,123,205,90,172,82,82
20,247,206,20,279,259,259
379,203,208,479,484,5,5
201,107,209,301,403,102,102
93,257,210,93,346,253,253
245,120,211,345,436,91,91
61,257,212,61,316,255,255
40,218,213,140,435,295,295
173,177,218,273,314,41,41
0,180,219,0,39,39,39
21,29,219,121,311,190,190
66,35,220,66,251,185,185
77,8,221,77,290,213,213
210,90,225,310,445,135,135
380,212,226,480,494,14,14
